"window_idx","cluster","obs_start","obs_end"
306,1,3050,3260
307,0,3060,3270
308,0,3070,3280
309,0,3080,3290
310,0,3090,3300
311,0,3100,3310
312,0,3110,3320
313,0,3120,3330
314,0,3130,3340
315,0,3140,3350
316,0,3150,3360
317,0,3160,3370
318,0,3170,3380
319,0,3180,3390
320,0,3190,3400
321,0,3200,3410
322,0,3210,3420
323,0,3220,3430
324,0,3230,3440
325,0,3240,3450
326,1,3250,3460
327,1,3260,3470
328,0,3270,3480
329,0,3280,3490
330,0,3290,3500
331,0,3300,3510
332,0,3310,3520
333,0,3320,3530
334,0,3330,3540
335,0,3340,3550
336,0,3350,3560
337,0,3360,3570
338,0,3370,3580
339,0,3380,3590
340,0,3390,3600
341,0,3400,3610
342,0,3410,3620
343,0,3420,3630
344,0,3430,3640
345,0,3440,3650
346,0,3450,3660
347,1,3460,3670
348,1,3470,3680
349,0,3480,3690
350,0,3490,3700
351,0,3500,3710
352,0,3510,3720
353,0,3520,3730
354,0,3530,3740
355,0,3540,3750
356,0,3550,3760
357,0,3560,3770
358,0,3570,3780
359,0,3580,3790
360,0,3590,3800
361,0,3600,3810
362,0,3610,3820
363,0,3620,3830
364,0,3630,3840
365,0,3640,3850
366,0,3650,3860
367,0,3660,3870
368,1,3670,3880
369,0,3680,3890
370,0,3690,3900
371,0,3700,3910
372,0,3710,3920
373,0,3720,3930
374,0,3730,3940
375,0,3740,3950
376,0,3750,3960
377,0,3760,3970
378,0,3770,3980
379,0,3780,3990
380,0,3790,4000
381,0,3800,4010
382,0,3810,4020
383,0,3820,4030
384,0,3830,4040
385,0,3840,4050
386,0,3850,4060
387,0,3860,4070
388,1,3870,4080
389,1,3880,4090
390,0,3890,4100
391,0,3900,4110
392,0,3910,4120
393,0,3920,4130
394,0,3930,4140
395,0,3940,4150
396,0,3950,4160
397,0,3960,4170
398,0,3970,4180
399,0,3980,4190
400,0,3990,4200
401,0,4000,4210
402,0,4010,4220
403,0,4020,4230
404,0,4030,4240
405,0,4040,4250
406,0,4050,4260
407,0,4060,4270
408,0,4070,4280
409,0,4080,4290
410,1,4090,4300
411,0,4100,4310
412,0,4110,4320
413,0,4120,4330
414,0,4130,4340
415,0,4140,4350
416,0,4150,4360
417,0,4160,4370
418,0,4170,4380
419,0,4180,4390
420,0,4190,4400
421,0,4200,4410
422,0,4210,4420
423,0,4220,4430
424,0,4230,4440
425,0,4240,4450
426,0,4250,4460
427,0,4260,4470
428,0,4270,4480
429,0,4280,4490
430,0,4290,4500
431,1,4300,4510
432,1,4310,4520
433,0,4320,4530
434,0,4330,4540
435,0,4340,4550
436,0,4350,4560
437,0,4360,4570
438,0,4370,4580
439,0,4380,4590
440,0,4390,4600
441,0,4400,4610
442,0,4410,4620
443,0,4420,4630
444,0,4430,4640
445,0,4440,4650
446,0,4450,4660
447,0,4460,4670
448,0,4470,4680
449,0,4480,4690
450,0,4490,4700
451,0,4500,4710
452,1,4510,4720
453,1,4520,4730
454,0,4530,4740
455,0,4540,4750
456,0,4550,4760
457,0,4560,4770
458,0,4570,4780
459,0,4580,4790
460,0,4590,4800
461,0,4600,4810
462,0,4610,4820
463,0,4620,4830
464,0,4630,4840
465,0,4640,4850
466,0,4650,4860
467,0,4660,4870
468,0,4670,4880
469,0,4680,4890
470,0,4690,4900
471,0,4700,4910
472,0,4710,4920
473,1,4720,4930
474,1,4730,4940
475,0,4740,4950
476,0,4750,4960
477,0,4760,4970
478,0,4770,4980
479,0,4780,4990
480,0,4790,5000
481,0,4800,5010
482,0,4810,5020
483,0,4820,5030
484,0,4830,5040
485,0,4840,5050
486,0,4850,5060
487,0,4860,5070
488,0,4870,5080
489,0,4880,5090
490,0,4890,5100
491,0,4900,5110
492,0,4910,5120
493,0,4920,5130
494,1,4930,5140
495,1,4940,5150
496,0,4950,5160
497,0,4960,5170
498,0,4970,5180
499,0,4980,5190
500,0,4990,5200
501,0,5000,5210
502,0,5010,5220
503,0,5020,5230
504,0,5030,5240
505,0,5040,5250
506,0,5050,5260
507,0,5060,5270
508,0,5070,5280
509,0,5080,5290
510,0,5090,5300
511,0,5100,5310
512,0,5110,5320
513,0,5120,5330
514,0,5130,5340
515,1,5140,5350
516,1,5150,5360
517,0,5160,5370
518,0,5170,5380
519,0,5180,5390
520,0,5190,5400
521,0,5200,5410
522,0,5210,5420
523,0,5220,5430
524,0,5230,5440
525,0,5240,5450
526,0,5250,5460
527,0,5260,5470
528,0,5270,5480
529,0,5280,5490
530,0,5290,5500
531,0,5300,5510
532,0,5310,5520
533,0,5320,5530
534,0,5330,5540
535,0,5340,5550
536,1,5350,5560
537,1,5360,5570
538,0,5370,5580
539,0,5380,5590
540,0,5390,5600
541,0,5400,5610
542,0,5410,5620
543,0,5420,5630
544,0,5430,5640
545,0,5440,5650
546,0,5450,5660
547,0,5460,5670
548,0,5470,5680
549,0,5480,5690
550,0,5490,5700
551,0,5500,5710
552,0,5510,5720
553,0,5520,5730
554,0,5530,5740
555,0,5540,5750
556,0,5550,5760
557,1,5560,5770
